Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
CD53	8.07086314527479	4370.7388701845	0.915763558239461
S100A12	9.28426492634695	7116.91191275649	0.952793713467271
C1orf192	11.1282305711168	1869.88688279753	0.91430960399489
SNORD74	8.25732730091381	2768.537032045	0.902712034994
DKK1	9.70988165949595	2246.68858239137	0.915497232222351
SNORA23	-9.49083080016006	1894.91268741962	0.901911508535594
TMPRSS5	11.1813022002317	1698.85907272113	0.90726744861224
LYZ	8.91689155667397	2602.43335762044	0.912547516742152
SNORA27	-8.33666113425146	3677.89146152015	0.916122788681144
PATL2	8.50422301814287	2676.14909874096	0.906082917198932
ZNF319	8.00030212639829	16187.9409902023	0.934095149614834
LOC730755	-9.11382500290728	2183.35059475241	0.905689621801572
DQ570096	8.84545650266148	116092.032868012	0.95839430186196
DKFZP434I0714	-8.48459079960659	3514.37370140898	0.917511709828514
CXXC5	-8.62300566404559	2903.4335310543	0.912295126388728
FU270192	7.33563334634915	8252.74935286736	0.909718577013897
FU270182	7.64056516734279	6415.7103967134	0.914095923818372
DL490908	9.4488989147988	25139.3765030284	0.967070026710022
MIR4719	8.63552043845683	2511.5591763909	0.905640072775133
DQ588114	-7.45601261031035	97954.2779321744	0.923335268842179
MIR3921	8.34452336061944	3256.88959426139	0.911496148337398
DQ570835	8.90723430650031	17249.9084053588	0.955415166647312
JH8	9.21071340945459	15474.7766344507	0.960583749467735
