Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
ISG15	12.0470102738137	4653.73333333333	0.926788935493599
SERINC2	9.84816337858261	3866.96666666667	0.903267812594237
SERINC2.1	9.84747997545419	3865.13333333333	0.90325355703594
USP35	10.2624270831387	4050.03333333333	0.909913095923459
USP35.1	11.2806016339892	3978.73333333333	0.912329413054802
USP35.2	10.5136423148073	3944.46666666667	0.908915206842668
MMP1	12.9667858085072	4802.73333333333	0.929818789922417
OR6C2	-20.031900390821	536009.5	0.999941332894701
CLDN10	-8.56224242422107	8733.83333333333	0.939212654549442
BRF1.5	-8.77984468467042	8039.86666666667	0.939505441785235
FAM65A.1	8.77793553504909	6437.96666666667	0.927541190339118
FAM65A.2	8.77793553504909	6437.96666666667	0.927541190339118
FAM65A.3	8.72176258298181	6654.86666666667	0.928374043918085
BC037494	-13.3796737289396	9769.08333333333	0.972635907558187
UCA1	13.7694514267558	12566.9333333333	0.981968363626395
CEACAM1	9.0389189892923	4200	0.901908051648984
CEACAM1.1	9.0389189892923	4200	0.901908051648984
CEACAM1.2	9.0389189892923	4200	0.901908051648984
CEACAM1.3	9.0389189892923	4200	0.901908051648984
CEACAM1.4	9.0389189892923	4200	0.901908051648984
RSAD2	12.821544039873	9409.2	0.970852866189654
E2F1	13.5238137632082	7066.23333333333	0.956330290319928
ADAMTS9	7.96088975516514	12358.0333333333	0.93811168681635
ADAMTS9.1	7.9263691320119	10804.9	0.933024645667133
ADAMTS9.2	8.80486965866801	7407.4	0.935681662417414
SCARNA7	-11.5831902468326	3578.43333333333	0.903573758806919
MSX2	-9.3868209521542	12477.6333333333	0.965738958795954
PLAT	10.6673333416052	13652.1	0.979106286152918
PLAT.1	10.6673333416052	13652.1	0.979106286152918
BC064148	-12.6719706395332	3806.21666666667	0.910233297694438
VENTXP1	-14.3857379821134	23188.9166666667	0.993890396688324
IFIT2	12.0956167950591	6125.93333333333	0.946886531238863
RCBTB2.3	-8.35119268939256	4964.75	0.902812731310141
CEACAM1.9	9.0389189892923	4200	0.901908051648984
CEACAM1.10	9.0389189892923	4200	0.901908051648984
PLAT.2	10.8534359120484	13313.9666666667	0.979488993064123
PLAT.3	10.8534359120484	13313.9666666667	0.979488993064123
SERINC2.3	9.71909115858153	3872.4	0.902386709433342
SERINC2.4	9.84747997545419	3865.13333333333	0.90325355703594
USP35.4	10.2624270831387	4050.03333333333	0.909913095923459
MMP1.1	12.9667858085072	4802.73333333333	0.929818789922417
OR10A7	-20.0319822114691	536039.9	0.999941332894701
OR6C74	-20.0319822114691	536039.9	0.999941332894701
OR6C6	-20.0319822114691	536039.9	0.999941332894701
OR6C1	-20.0319822114691	536039.9	0.999941332894701
OR6C3	-20.0319822114691	536039.9	0.999941332894701
OR6C75	-20.0319822114691	536039.9	0.999941332894701
OR6C65	-20.0319822114691	536039.9	0.999941332894701
OR6C76	-20.0319009291299	536009.7	0.999941332894701
OR6C70	-20.031900390821	536009.5	0.999941332894701
OR6C68	-20.031900390821	536009.5	0.999941332894701
OR6C4	-20.0318820881989	536002.7	0.999941332894701
OR10P1	-20.0318820881989	536002.7	0.999941332894701
CLDN10.2	-8.56224242422107	8733.83333333333	0.939212654549442
FAM65A.7	8.72176258298181	6654.86666666667	0.928374043918085
ADAMTS9.3	7.96088975516514	12358.0333333333	0.93811168681635
IL6.1	12.1049263038078	3523.2	0.902819859089289
IL6.2	12.1049263038078	3523.2	0.902819859089289
IL6.3	12.1047215936207	3522.7	0.902800120623955
PLAT.4	10.6673333416052	13652.1	0.979106286152918
PLAT.5	10.6673333416052	13652.1	0.979106286152918
DQ581988	-12.3091731551764	3805.45	0.910010143378019
DQ582260.5	-12.8941356558976	3805.7	0.910290319927626
DQ584320	-12.8941356558976	3805.7	0.910290319927626
DQ593554	-12.8941356558976	3805.7	0.910290319927626
SERINC2.5	9.71909115858153	3872.4	0.902386709433342
USP35.5	10.2624270831387	4050.03333333333	0.909913095923459
MIR133A1	-12.8021124185861	3570.5	0.904476245305261
MIR1-2	-11.2996120780569	3569.58333333333	0.90272007018121
MIR4634	-14.0242508727695	12495.55	0.981815390520054
STAG3L1.3	-7.22310259508927	9733.01666666667	0.908846670504702
STAG3L1.4	-7.22310259508927	9733.01666666667	0.908846670504702
DQ593719.3	-12.8941356558976	3805.7	0.910290319927626
DQ587539.25	-12.8941356558976	3805.7	0.910290319927626
DQ596206.5	-12.8941356558976	3805.7	0.910290319927626
