MvaluesInNoise	DvaluesInNoise
1.37030207005311	7801
-0.710632009223782	2576
-0.639410284743533	58
-0.567684509289321	54
-3.8073549220576	6.5
1.84799690655495	819
0.0965409759714369	89
0.367667947024387	164
0.722466024471091	13
-0.597320560885629	14786
-4.73835213443717	1336
0.920247706048767	4663
-2.49591023115143	23181
1.07363830980497	5390
3.32192809488736	4.5
2.80178975308651	4211
2.85244281158614	168
1.32192809488736	3
-7.42702707706641	1882
-0.263034405833794	2
0.671920927191163	366
3.05208851114845	124
1.58496250072116	4
3.58496250072116	22
3.73696559416621	37
-3.91288933622996	225
-3.21352450226885	3087
-3.23029761942179	109
-3.02384674195437	107
-0.907569807732993	868
1.65625640507798	2124
-0.550360967025253	5285
-2.4594316186373	108
0.106915203916512	17
0.862959175112559	1021
0.518570600411039	3071
0.567040592723894	13
0.887973382265889	74
0.836501267717121	22
-0.192645077942396	2
-1.4594316186373	14
-2.8073549220576	12
-2.90689059560852	13
-2.66296501272243	16
-1.90689059560852	11
-0.584962500721156	1
-0.137503523749935	1
-0.263034405833794	2
-1	7
0.456378294659743	16
2	1.5
-1	8
1	4
0.719892080807265	11
1.10691520391651	15
-0.585249062454324	5037
2	1.5
2.26845166368708	95062
0.426264754702098	11
2.6729799047463	2194
0.343256604327874	101
0.192645077942396	1
-0.435115734130409	584
1	3
0.584962500721156	6
4.01866384426504	365
6.72337652941825	1256
-0.66027078654764	704
-3	98
1.24752570448934	1039
-3.68182403997374	142
0.362570079384708	4
-1.22239242133645	8
1.07214978575584	43
4.01122725542325	121
0.808231533134865	9356
-7.72511560288504	3580
0	0
0	0
1.58496250072116	4
1.72712740184095	476
2.8073549220576	24
2.8564726886223	206
-0.470568516665173	2339
3.96082940271932	102
-1	3
-2.19611852129818	7756
-4.26872852829348	9339
-5.62029854791969	7855
1.27701280750545	1133
3.36106648879432	742
2	1.5
-1.83293732262143	1371
0.0266398106923377	1120
-3.34857813134934	542
1.46566357234881	37
0.321928094887362	3
-3.58496250072116	5.5
7.13955135239879	700
3.76799893843611	9013
0	0
-5.37752042085068	2556
4.13990685653815	4307
1.8703647195834	170
2.87446911791614	38
1.73918341941602	1520
0.569365645670138	15
1.26303440583379	14
-1.68346885800164	5238
0.0108883161427362	3
0.601450623509725	15
1.69538649041481	197
6.85798099512757	57.5
1.37503943134692	102
1.37993369832293	125
2.86249647625006	69
2.26303440583379	19
1.83678504866566	1569
1.82254132587228	137
-0.822175214345195	15674
-1.95591467091376	16290
-0.923038018185116	1035
1.22239242133645	16
-7.01742707175818	1157
-7.24134152413744	1954
1.03739403695109	5792
2.92599941855622	33
0.539498468564783	5467
-2.52356195605701	285
3	7
-1.89675889409865	5423
1	0.5
1.95714019025284	4826
-0.758991900496205	18
-0.716207033999409	18
0.601836319285552	44
-0.941106310946431	23
-0.436099114806674	12
0.577308928177721	31
2.14974711950468	55
1.97922215130594	3190
-6.90689059560852	59.5
2	1.5
1.42884329880387	22
0.428346943827142	2900
3.72901684105072	10041
1.2829339632715	43
-4.08498291792223	2188
-0.32872841042982	2394
0.969340220613271	34122
-0.167321376858652	1167
-4.39231742277876	20
-0.736965594166206	2
-1.19967234483636	415
2.98950078810074	8018
-0.893084796083488	42
1.34239219744708	43
0.331628003784347	3578
-4.4374053123073	62
1.52208529774909	1273
2.03952836418664	28
2	9
-6.88264304936184	702
1.65227516383563	26909
1.58496250072116	14
-2.16682729845493	21155
-0.556393348524385	16
-2.62449086490779	31
-3.20945336562895	33
-2.03562390973072	31
-1.19696668389249	2262
-1.1926450779424	9
1	3
-0.0395181488615374	212
1.95288902032903	18613
3	3.5
0.0822001161175683	825
-6.3037807481771	234
0	0
1.32780466122403	74
0	0
0.84799690655495	8
2	1.5
2.52262544512449	318
3.62768337570578	3465
0.472193694785927	5186
-0.364342467356752	1610
1.32937973656884	2162
5.6159832473625	9993
3.40847188342429	3376
4.28395487151245	3308
2.01523282046962	2723
0.450936330431218	2301
4.5485205047531	3293
-0.582872992731024	4357
0.723772116179786	10964
2.45066140900957	201
1.8073549220576	10
-3.57154198495883	98
1.12775554719837	32
-0.222392421336448	7
0.351181899862476	148
0.53092557371076	3364
1	31
0.92488223092782	8492
0.982487870839989	20504
4.04730571477836	233
2.48542682717024	23
1.80598679010027	2634
3.23075589427107	4328
-0.43731894665485	91
2	3
-3.10806682155121	8011
-1.35140298848098	436
0.653174846996855	3008
2.39231742277876	102
1.45103569751624	163
0.582340068296234	1004
-4.55772750834719	5728
-9.21531519923225	23143
-1.41059259651977	11052
4.68494338181792	890
0.925999418556223	9
1.32192809488736	12
1.58496250072116	16
-3.88323932754387	564
-2	1.5
-1	1
-5.10433665981474	334
0.584962500721156	3
0.270956520687495	1701
1.0219626378889	5308
-3.84917509775223	456
1.89902622216012	1272
0.551015168797818	20
0.84799690655495	4
5.49185309632967	88
-3.62886145154486	7698
8.81057163474115	448
-1.91282362737193	9574
-2.54726179153593	407
1.31995617238758	12929
1.22239242133645	4
-4.14739670383053	6655
0.972238665494564	2473
0.415037499278844	2
3	7
0	0
-0.473203595625948	1663
2.8073549220576	12
-0.222392421336448	1
4.94404359402598	1370
2.22981905691125	1277
-0.446670403548533	487
1.41503749927884	5
0	0
-4.4594316186373	10.5
2	1.5
5.28540221886225	76
-0.372881828177347	5167
0.426264754702098	22
2.82888808360725	116
-0.115477217419936	1
1.52475786651524	689
1.99519723789185	2022
1.79180696570729	5415
2	1.5
3.77258950389693	38
-0.586978846319661	359
0.652076696579693	4
3	14
1.05358407576723	3994
1.46683639985905	374
-2.79703886064889	7158
-4.1535559290353	5459
0.658963082164933	11
1.684186879624	456
1.9166781972735	6578
-0.814866415339407	15872
-0.651861445499168	11834
-3.87546236755323	1354
-0.696720986565076	8422
-0.53605290024021	126
-1.67277701663018	3696
-2.11547721741994	10
-2	1.5
4	7.5
4.77653374531223	1294
0.95844933220646	3638
1.66749019476769	2662
0.514573172829758	9
1.72237734419686	11338
4.64182993236174	6830
0.954280831248626	10325
3.24392558288609	322
-0.888682977135842	86
-1.53051471669878	17
1.65207669657969	30
3.4594316186373	10
0.292035182788408	593
1.16833700453912	630
2.08444480001834	32570
0.169925001442312	2
5.65821148275179	1089
-0.12507524141403	239
4.02990148571386	8787
-1	0.5
2.32670260020771	1454
0	0
-0.415037499278844	1
-8.67335815600331	29323
-6.85264097037237	802
-8.08451314682494	2434
-7.16933554482905	2430
2.33664960059413	158
0.15200309344505	2
-1.26303440583379	14
-4.82227836789358	2156
-0.114879803422874	3157
-0.128527450988264	661
-1.9778042538858	385
-2.38561215009233	7247
-0.466099789845162	1609
3.70043971814109	12
1.73696559416621	7
-1.15754127698648	16
2.4594316186373	9
-2.6118041129398	6534
2.58496250072116	10
1.8073549220576	5
1.25375659224578	36
1.68322971155314	8220
-0.709368035602176	181
2.90689059560852	13
4.48191369428692	29777
-2.49286091686726	1472
-3.16741814583174	1533
1.77195688163689	5509
-3.21239058737419	28511
-4.46937839404045	29740
-5.86005234514727	2055
-1.48753449013223	617
-1.84915759823692	7007
-7.79311555527435	1104
3.58496250072116	5.5
0	0
-4.47546766785597	1296
1.66092278183027	18664
0.89564874468814	7442
0.691877704637668	8
0	0
-5.4555689790049	1458
8.27029532647204	1231
-1.39995587499279	7880
0.798366138830349	17
0.819253505304173	211
-1.58496250072116	4
-1.32192809488736	3
0.134301091711591	4
3	3.5
-4.1172018978894	6836
1.38466385023533	29
-0.528779665328032	85
-0.600729816579473	94
2.30134405357847	16475
-3.08826107589001	11167
-1.56175276136413	2161
-1.56175276136413	2161
-0.725414537812205	15649
1.36520910521429	21043
-1.29378476767624	6688
0.144389909335175	2
-2.72889727573378	13173
-3.32192809488736	18
1.51460796968558	23100
-0.566346822553809	25
-1.61815180700313	1008
1.41503749927884	5
3.08350872001702	48367
1.73696559416621	7
-1.55919940465607	220
2.73696559416621	17
0.899251467999435	2206
-0.498867475056782	1488
-0.315718409971194	2415
-1.43609911480667	87
-0.637253273452567	1620
0.415037499278844	3
0.6463630453853	13
-3.21121573508706	8220
-2.96523458183932	143
0.949626477484881	95
0.406365197264393	95
2.89987869825315	711
0.0900301281334694	319
3.28010791919274	122
-0.177291045754598	1808
-0.639209015903796	5131
1.92599941855622	210
-2.78263524338505	6528
1.20163386116965	39
2.84130225398094	148
4.8227464349527	8545
-7.11374216604919	275
-2.24676601668905	1225
3.15969307883136	2246
-0.0791996700161044	161
-5.15650448567999	208
-0.446879464996814	663
2	1.5
0.891825308819988	3997
1.24109702027432	851
-3.84369676912132	935
0.868953694813741	1575
-1.01800876287443	6937
1.0615893949844	55714
0.874469117916141	15
2.28950661719499	35
-0.124762305516276	1484
2	54
3.64385618977472	46
3.16992500144231	8
1.24100809950379	15
3.1185049101175	9145
5.84130225398094	338
1	2
3.96581033761043	6479
0	0
-0.103093492964104	18
0	0
-0.733593496703707	8176
-2.28274780106544	7388
1.68782441851251	9069
0.497499659470817	7
-2.52255745695113	4447
0.308122295362332	5
-0.483668682302029	2990
-0.462626957797104	31
-4.38281033703438	576
-5.46064549758219	1162
-2.06413033741972	35
-1.35049724708413	31
0.841141287644068	7754
-3	3.5
-3	3.5
1.90689059560852	55
-2	1.5
-1.4045597033926	6545
8.76376565350992	1301
-0.704026388508326	15221
1	2
-1.03455701570733	21690
1	0.5
3	3.5
-0.326563105835582	6331
0.830074998557688	28
-0.115477217419936	1
-1.28233946649132	762
-0.176912565095694	624
1.1340109009842	3234
-0.584962500721156	3
-1.44482422435857	33478
0.192645077942396	1
-2.17655809377476	764
2.55799545312089	88
-0.862999069894197	235
-4.9820249256693	1622
5.84284654119717	2143
0.971985623830403	25
-1.42286648613837	6913
-1.03562390973072	21
3.71783337913521	29993
1.34577483684173	37
-2	1.5
1	2
-2.58496250072116	2.5
0.736965594166206	6
-2.01752282724759	1497
-0.736965594166206	24
-1.40784712107236	291
-1.74700678284452	13058
2.21078808220198	4239
-1.53497655803075	6669
1.19913218052474	1366
-4.10433665981474	486
-0.687318542268163	7083
-4.52356195605701	44
-1.38994651831601	47
4.22475401138889	1929
0.651919617256669	477
0.401362562381767	17
1.09310940439148	17
6.04361322892483	1819
-1.89503709580148	5561
9.80413102118332	1786
3.1718628056838	13909
0.0319337236873183	437
1.62803122261304	23
1.92027280752927	259
-2.69887582092466	1950
0.541139557235906	3448
2.08746284125034	52
-0.584962500721156	2
0	0
0	0
0	0
-0.428931940937225	161
2.10608725838969	3292
-1.27539023059131	7116
-0.177881725270655	58
4.73696559416621	77
4.68929916053589	124
4.37186850944569	39468
0.321928094887362	1
-1.87134185225075	14288
-4.22580268304038	1470
2.85274553247952	35133
-0.342574855281588	1759
3.91942494935229	8097
-4.03966421757352	8866
0.559135752608871	7862
-1.570336936961	2734
0.348705746741062	216
1.61141503391444	2740
-0.59034940012656	856
-0.819172495548877	6625
-1.09308436434078	4081
8.18781336658281	17145
0.415037499278844	4
2	6
2.58496250072116	2.5
-1.7663728291683	3161
-6.01680828768655	510
5.19304755947406	3487
0	0
-1.38563987470474	8316
0.874469117916141	5
-1.45066140900957	104
0.807354922057604	3
0.693022246578609	37
-1.62654160447256	119
1	2
0.304854581528421	28
3.24792751344359	34
-3.54068686327801	8095
0.942543126890307	1889
0.415037499278844	1
0.736965594166206	2
0.84799690655495	4
1.22239242133645	4
0	0
2.01200888163495	2994
0.805436444326904	1286
0.236634343912227	77
1.6765164386106	637
0.558154353638569	20715
-2.44490501218201	1089
0.687758070082572	102
1.88058202932927	7006
2.21892440274125	6960
0.929305983626959	6638
-1.54143966559085	26985
-0.0722462712550584	1236
-0.925999418556223	9
0.970656038417856	143
0.217210223538928	246
-7.0389189892923	522
1.17625566892128	11746
4.24185889568396	23368
-4.31324585178756	472
-1.36154379796787	981
0.180682886006988	307
2.45445671773265	35620
6.39231742277876	83
-2.11547721741994	210
-0.0623440993353757	45
-0.122566247094722	1465
1.22694959570805	1574
1.95440167330603	3258
-0.757465376088874	3146
-0.0565835283663674	1
0.625604485218502	19
-1.70043971814109	9
-0.251538766995965	4
-0.502166189968132	846
1.84318591404863	691
-4.32192809488736	19
-0.964527790387857	3506
-0.263034405833794	1
0	0
1.10997284202513	117
-0.852897694941391	6607
-0.930737337562886	29
2.11547721741994	10
0.609851474076791	907
0.25191837363962	493
1	2
-2.45681459891576	20946
-0.583609762655907	532
3.16992500144231	8
5.01894910280099	817
-0.871113036051688	519
-0.422571171964251	130
1.4626269577971	72
1.15754127698648	16
1.63471553591826	80
-2.1879736382185	722
-4.0114305807764	832
-2	6
3.58496250072116	5.5
0.584962500721156	6
-0.7204862997632	730
1.50695998871988	35
2.85798099512757	50
2.6724253419715	43
-0.941116558488177	13492
2.02456872122173	402
-1.83297580971297	756
-0.844201678247345	2758
5.5311125267769	1312
0	0
0.823122237915921	10
-0.169925001442312	2
-0.184332847212447	1029
2	1.5
2	1.5
2	1.5
-3.4567995631006	3982
1.58238597133289	5962
1.66812387821993	19552
1.0296143309729	2536
1.66119808654824	93
1.59756253750079	308
1.22239242133645	4
1.65711228647699	28
-0.299560281858908	3
0.319820431925371	34
-0.0913743530207338	17
0	0
0.413059667059724	5384
2.08419512741643	674
0.294097694876511	890
1.18442457113743	14
0.551015168797818	20
-1.78852612192512	15415
-0.132125245741284	478
3	3.5
2.57757036649112	2917
1.81793967269877	245
-1	5
1.43493705671655	230
-0.373814836552331	126
0	0
-0.163197508970108	881
1.88429230234712	160779
5.99246632731459	752
-2.3121266275916	4569
-0.115477217419936	1
3.30158764660319	886
-3.85528939912131	997
1.86149442748497	30916
7.85798099512757	115.5
0.451796049288962	57
-0.649020737636552	1977
2	1.5
1.86915252054038	459
1.03002560347571	2205
0.234654273622998	674
1.68499569208798	6994
0.239338313390437	24
0.985451691430845	293
-5.75488750216347	26.5
0.379704426166563	28
-2.56060817122874	6732
-4.93314866194321	2896
-1.44541114832236	81
0.560087832082127	37
1.7311832415722	58
-0.297576365202652	6022
-2.55083382318248	3222
1.19295296909479	19585
-0.148673865104613	956
0.169925001442312	1
-0.275975907957119	1665
2.8073549220576	12
-2.62719552783573	4997
3.82597060022495	435
0.654072585817861	113
4.00877020962773	8047
1.53999933122195	26156
0.931857277868938	7339
-1.55799545312089	35
1.8073549220576	20
0.967578522307623	43
-3.46486721077863	2902
0.877515993475005	2376
1.01189924634945	9083
1.35614381022528	117
-0.534865829447553	7075
1.8073549220576	25
1.38702312310925	189
-4.09686153925259	580
-1.41101163846979	521
1.12894785721738	146
1.40209844357135	46
0.337034987277571	5
-1.58028601351168	205
2.57742021245841	30493
1	11
0	0
0.288125386796624	399
0.843880798082718	31
-3.24083960301235	4176
0.066542225776141	747
0	0
1.53458897820604	129
0	0
6.00623459404245	23286
0.321928094887362	32
1.13613668798603	9660
-0.565834188347101	316
1.77577620486257	21498
2.3879560980578	15497
1.49500829580435	13549
1.27758929252977	4179
-0.40597593190509	6462
8.1548181090521	12212
-2.5043683908237	1061
1.30210397051239	623
1.27563444261343	54
-8.70793425468802	5006
0.915111102413487	31
-0.148174621386169	551
2	3
-2	1.5
0.622930350920177	216
-1.33948646627167	75
-0.0573331750659516	249
-2	9
-0.437315966724081	4926
0.662965012722429	7
0	0
0.234652604463971	68
0.940293753875732	306
-0.424977811356506	545
-1.98850436116217	374
3.32192809488736	4.5
1.80376064214263	13874
0.955605880641547	31
2.38627850629742	482
-6.14716987719285	25364
0.31194400631474	14
3.44497478343295	3066
-0.923754401888855	1002
1.70286115286889	27370
3.10454940474983	117470
1.51220763212833	31264
2.24699255622133	15220
0.77093151380773	255
0.164580544627771	443
1.09515723304034	50
0.93161302501975	49
2.24032374151891	18126
1.2940872171273	10607
1.17687776208408	29
