Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
CD53	8.5375207672552	9042.1	0.925896334146247
MPEG1	7.76463760066306	8182.36666666667	0.904491154724577
KIAA1199	8.80514673015597	11247.1333333333	0.93997135446909
YPEL3	8.98367226645114	7073.33333333333	0.920687492741842
ZNF319	7.77986294997215	54342.9333333333	0.941330855882011
ARHGAP25	7.71151884254721	16396.2333333333	0.927345643169589
AK128525	7.15810617939788	19628.6	0.915531297178028
Ig	kappa	7.16162716528611	19648.4666666667	0.915543684434638
AFF3	6.71910610960691	18700.3	0.900779622962877
IFNAR2	8.60848585649532	7474.8	0.917818294429605
TIMP3	8.87925834443048	10337.6666666667	0.937760229164247
APOBEC3C	7.36730033377987	11487.8333333333	0.908077265513103
ADAMTS9	8.05177857654896	13164.8666666667	0.929891224402896
PTX3	7.05152646372673	12665.1333333333	0.902140672782875
HLA-DPB1	8.91305561238307	7215.83333333333	0.92077420353811
DOCK8	7.31540118779821	11396	0.906545890914721
SPAG8	-10.2367477143135	4521.05	0.90448186428212
