Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
C1orf158	Inf	Inf	1
PRAMEF12	Inf	Inf	1
PRAMEF1	Inf	Inf	1
PRAMEF11	Inf	Inf	1
PRAMEF2	Inf	Inf	1
PRAMEF4	Inf	Inf	1
PRAMEF10	Inf	Inf	1
PRAMEF8	Inf	Inf	1
PRAMEF6	Inf	Inf	1
PRAMEF5	Inf	Inf	1
PRAMEF22	Inf	Inf	1
PRAMEF9	Inf	Inf	1
PRAMEF16	Inf	Inf	1
LRRC38	Inf	Inf	1
PDPN	Inf	Inf	1
PRDM2	Inf	Inf	1
AK124197	Inf	Inf	1
KAZN	Inf	Inf	1
C1orf126	Inf	Inf	1
TMEM51	Inf	Inf	1
FHAD1	Inf	Inf	1
AK055853	Inf	Inf	1
EFHD2	Inf	Inf	1
CTRC	Inf	Inf	1
CELA2A	Inf	Inf	1
CELA2B	Inf	Inf	1
CASP9	Inf	Inf	1
DNAJC16	Inf	Inf	1
AGMAT	Inf	Inf	1
DDI2	Inf	Inf	1
DQ573015	Inf	Inf	1
SLC25A34	Inf	Inf	1
TMEM82	Inf	Inf	1
FBLIM1	Inf	Inf	1
FLJ37453	Inf	Inf	1
SPEN	Inf	Inf	1
ZBTB17	Inf	Inf	1
DQ576383	Inf	Inf	1
C1orf64	Inf	Inf	1
HSPB7	Inf	Inf	1
CLCNKA	Inf	Inf	1
CLCNKB	Inf	Inf	1
FAM131C	Inf	Inf	1
EPHA2	Inf	Inf	1
ARHGEF19	Inf	Inf	1
RSG1	Inf	Inf	1
FBXO42	Inf	Inf	1
C1orf144	Inf	Inf	1
SPATA21	Inf	Inf	1
NECAP2	Inf	Inf	1
CROCCP3	Inf	Inf	1
AX747988	Inf	Inf	1
AB1	Inf	Inf	1
NBPF1	Inf	Inf	1
CROCCP2	Inf	Inf	1
FLJ00313	Inf	Inf	1
MST1P2	Inf	Inf	1
ESPNP	Inf	Inf	1
MST1P9	Inf	Inf	1
BC070363	Inf	Inf	1
CROCC	Inf	Inf	1
MFAP2	Inf	Inf	1
ATP13A2	Inf	Inf	1
SDHB	Inf	Inf	1
PADI2	Inf	Inf	1
PADI1	Inf	Inf	1
PADI3	Inf	Inf	1
PADI4	Inf	Inf	1
PADI6	Inf	Inf	1
RCC2	Inf	Inf	1
ARHGEF10L	Inf	Inf	1
ACTL8	Inf	Inf	1
