MvaluesInNoise	DvaluesInNoise
-4.79361989665218	11790
-5.00082591417396	11849
-3.30330260710592	3389
-3.54992470635545	3460
-3.40149928378512	3425
-1.52337128731413	2467
-5.37543441972472	7130
-0.220048480868149	29
-1.93146861832918	819
-2.09019780897158	909
-10.8922000406885	529974
-8.98650070066071	542174
-15.2104185891288	530773
-20.0172977774907	530611.5
-2.8108736921944	6336
0.932291393090704	525
-6.08425218589261	28745
-11.6875214912137	29676
-8.02455647849129	29571
-8.02431345734342	29566
-8.02416762500263	29563
-8.00739617656455	29220
-3.78161794038872	27201
-5.91834688696599	28847
-5.89167302984601	28835
-4.63728353585124	1051
-5.82159684463338	1000
-6.53546979681393	7341
-6.51754788881666	7340
-11.3738538169472	29181
-6.3697610623133	28839
-4.95242044264325	28284
-12.8738240523958	637923
-9.49867503809259	616218
5.15143943059713	829
1.4594316186373	42
1.4594316186373	42
-6.99709392452301	8365
-9.23611821115395	27694
-9.630397150266	27705
-10.3682466054143	27736
-2.47804729680464	128
-5.66313757357915	5464
-1.06413033741972	24
-2.51656351046636	44039
-2.80224090023029	55725
-10.7413561011266	65013
-5.55257207243297	63665
-9.19486774822007	64940
-3.3488127099801	58666
-3.3488127099801	58666
-15.1795981308498	18555.5
-0.793039965992654	1198
1.72186406225442	6512
0.682184308433824	3521
4.18225053596647	8886
10.3953811211926	9421
10.3953811211926	9421
-1.22239242133645	4
-1.8073549220576	5
0.398549376490275	7
-5.15650448567999	208
0.87691851585746	179
0.87691851585746	179
0.87691851585746	179
0.64110557875869	141
6.03342300153745	387
-0.972201547656428	378
-0.972201547656428	378
-1.01823911828504	403
-9.16992500144231	287.5
0.913633385352111	327
-1.50538941763912	1565
-1.22857612195697	1385
8.00982861736811	1027
5.05842822847818	1002
4.88334152192009	998
-2.55809934503328	5124
-4.014808415165	15893
-2.37540921093139	9450
-8.99139860727317	11683
-8.99139860727317	11683
-3.70599638841092	10809
-7.18317993821255	11402
-1.35352714584705	3554
6.91005093650185	2266
1.74919189649947	111
-1.23266075679027	27
-7.26068435637966	3047
-0.662259595851939	1129
1.16066239645051	4033
1.16066239645051	4033
-1.73137773563092	2281
0.3544438632919	909
10.0687782779854	1073
10.1984450414524	1174
3.57791680986963	10668
-0.966362403299712	476
0.25435465014138	300
0.25435465014138	300
-0.81677817594423	581
-10.3923174227788	1343
-10.3923174227788	1343
-6.32582201099185	38103
2.62045158543978	3136
-1.02008424604333	3850
-0.986259021764981	3674
-1.83758712347702	5470
2.62128783483623	40317
1.74276232938448	18361
-4.4594316186373	2058
-6.48917896203135	2132
1.26236509705775	3016
2.86809811261146	13585
2.86809811261146	13585
-12.0741414627525	2155.5
1.65611637290225	4639
2.99799114141473	15068
3.23999698274177	18087
-6.32271195529289	1818
-6.7978321479391	2095
-5.8658146526056	1089
