#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001ajm.1	PANK4																							
uc001ajn.3	HES5																							
uc001ajo.2	LOC115110																							
uc001ajp.2	LOC115110																							
uc001ajq.2	LOC115110																							
uc001ajr.3	TNFRSF14																							
uc001ajt.1	TNFRSF14																							
uc001aju.2	FAM213B																							
uc001ajv.2	FAM213B																							
uc001ajw.2	FAM213B																							
uc001ajx.2	FAM213B																							
uc001ajy.2	MMEL1																							
uc001ajz.3	ACTRT2																							
uc001aka.3	FLJ42875																							
uc001akc.3	PRDM16																							
uc001ake.3	PRDM16																							
uc001akf.3	PRDM16																							
uc001akg.4	ARHGEF16																							
uc001aki.3	ARHGEF16																							
uc001akj.3	ARHGEF16																							
uc001akk.3	MEGF6																							
uc001akl.3	MEGF6																							
uc001akm.3	TPRG1L																							
uc001akn.3	WRAP73																							
uc001ako.3	WRAP73																							
uc001akp.3	TP73																							
uc001akr.3	TP73																							
uc001aks.3	TP73																							
uc001akt.4	TP73-AS1																							
uc001akv.2	CCDC27																							
uc001akw.4	LOC388588																							
uc001akx.1	LRRC47																							
uc001aky.2	CEP104																							
uc001akz.3	CEP104																							
uc001ala.1	DFFB																							
uc001alb.3	DFFB																							
uc001alc.3	DFFB																							
uc001ald.3	DFFB																							
uc001ale.3	DFFB																							
uc001alf.3	C1orf174																							
uc001alg.3	LOC100133612																							
uc001alh.4	LOC100133612																							
uc001ali.2	LOC728716																							
uc001alj.2	LOC284661																							
uc001alm.1	AJAP1																							
uc001aln.3	AJAP1																							
uc001alo.4	BC037321																							
uc001alp.1	AK125078																							
uc001alq.2	NPHP4																							
uc001alr.1	NPHP4																							
uc001als.2	NPHP4																							
uc001alt.2	NPHP4																							
uc001alu.3	KCNAB2																							
uc001alv.2	KCNAB2																							
uc001alw.2	KCNAB2																							
uc001alx.2	KCNAB2																							
uc001aly.2	KCNAB2																							
uc001alz.2	CHD5																							
uc001ama.2	CHD5																							
uc001amb.2	CHD5																							
uc001amc.1	CHD5																							
uc001amd.3	RPL22																							
uc001ame.3	RPL22																							
uc001amf.1	RNF207																							
uc001amg.3	RNF207																							
uc001amh.3	RNF207																							
uc001amk.3	ICMT																							
uc001aml.3	ICMT																							
uc001amm.3	C1orf211																							
uc001amp.2	GPR153																							
uc001amq.3	ACOT7																							
uc001amr.3	ACOT7																							
uc001ams.3	ACOT7																							
uc001amt.3	ACOT7																							
uc001amu.3	ACOT7																							
uc001amw.3	HES2																							
uc001amx.3	HES2																							
uc001amy.3	ESPN																							
uc001amz.3	ESPN																							
uc001ana.3	TNFRSF25																							
uc001anb.3	TNFRSF25																							
uc001anc.3	TNFRSF25																							
uc001and.3	TNFRSF25																							
uc001ane.3	TNFRSF25																							
uc001anf.3	TNFRSF25																							
uc001ang.3	TNFRSF25																							
uc001anh.3	TNFRSF25																							
uc001ani.1	TNFRSF25																							
uc001anj.1	PLEKHG5																							
uc001ank.1	PLEKHG5																							
uc001anl.1	PLEKHG5																							
uc001anm.1	PLEKHG5																							
uc001ann.1	PLEKHG5																							
uc001ano.1	PLEKHG5																							
uc001anp.1	PLEKHG5																							
uc001anq.1	PLEKHG5																							
uc001ans.3	NOL9																							
uc001ant.3	TAS1R1																							
uc001anu.3	TAS1R1																							
uc001anx.3	ZBTB48																							
uc001any.2	ZBTB48																							
uc001anz.1	KLHL21																							
uc001aoa.3	KLHL21																							
uc001aob.4	PHF13																							
uc001aoc.3	THAP3																							
uc001aod.3	THAP3																							
uc001aoe.2	THAP3																							
uc001aof.2	DNAJC11																							
uc001aog.2	DNAJC11																							
uc001aoh.3	CAMTA1																							
uc001aoi.3	CAMTA1																							
uc001aoj.3	CAMTA1																							
uc001aok.4	CAMTA1																							
uc001aol.3	VAMP3																							
uc001aon.3	PER3																							
uc001aoo.3	PER3																							
uc001aop.3	PER3																							
uc001aoq.3	UTS2																							
uc001aor.3	UTS2																							
uc001aos.3	UTS2																							
uc001aot.3	TNFRSF9																							
uc001aou.4	PARK7																							
uc001aov.4	PARK7																							
uc001aox.4	PARK7																							
uc001aoy.1	AX747125																							
uc001aoz.3	ERRFI1																							
uc001apa.1	ERRFI1																							
uc001apb.3	SLC45A1																							
uc001apc.3	SLC45A1																							
uc001apd.3	RERE																							
uc001ape.3	RERE																							
uc001apf.3	RERE																							
