#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001mvh.1	CAPRIN1																							
uc001mvi.2	CAPRIN1																							
uc001mvj.1	CAPRIN1																							
uc001mvk.3	NAT10																							
uc001mvl.2	ABTB2																							
uc001mvm.3	CAT																							
uc001mvo.1	ELF5																							
uc001mvp.2	ELF5																							
uc001mvq.2	ELF5																							
uc001mvr.2	EHF																							
uc001mvs.2	APIP																							
uc001mvt.3	PDHX																							
uc001mvu.3	CD44																							
uc001mvv.3	CD44																							
uc001mvw.3	CD44																							
uc001mvx.3	CD44																							
uc001mvy.3	CD44																							
uc001mwc.4	CD44																							
uc001mwd.3	SLC1A2																							
uc001mwe.3	SLC1A2																							
uc001mwf.3	PAMR1																							
uc001mwg.3	PAMR1																							
uc001mwh.3	FJX1																							
uc001mwi.2	TRIM44																							
uc001mwj.1	DQ573949																							
uc001mwk.1	LDLRAD3																							
uc001mwl.3	BC036209																							
uc001mwn.4	COMMD9																							
uc001mwo.4	PRR5L																							
uc001mwp.3	PRR5L																							
uc001mwq.2	TRAF6																							
uc001mws.2	TRAF6																							
uc001mwt.3	RAG1																							
uc001mwu.4	RAG1																							
uc001mwv.4	RAG2																							
uc001mwx.1	C11orf74																							
uc001mwy.1	C11orf74																							
uc001mwz.1	C11orf74																							
uc001mxa.1	LRRC4C																							
uc001mxb.1	LRRC4C																							
uc001mxc.1	LRRC4C																							
uc001mxd.1	LRRC4C																							
uc001mxe.1	HNRNPKP3																							
uc001mxf.2	API5																							
uc001mxg.3	API5																							
uc001mxh.3	TTC17																							
uc001mxi.3	TTC17																							
uc001mxj.3	TTC17																							
uc001mxl.3	TTC17																							
uc001mxo.1	MIR129-2																							
uc001mxp.2	HSD17B12																							
uc001mxq.4	HSD17B12																							
uc001mxr.1	AK094325																							
uc001mxs.2	ALKBH3																							
uc001mxt.2	ALKBH3																							
uc001mxu.2	LOC100507300																							
uc001mxv.1	AX748080																							
uc001mxw.1	ACCSL																							
uc001mxx.2	ACCS																							
uc001mxz.3	EXT2																							
uc001mya.3	EXT2																							
uc001myb.3	ALX4																							
uc001myc.3	CD82																							
uc001myd.3	CD82																							
uc001mye.4	TSPAN18																							
uc001myf.1	TP53I11																							
uc001myg.3	TSPAN18																							
uc001myi.3	TP53I11																							
uc001myj.3	TP53I11																							
uc001myk.3	TP53I11																							
uc001myl.3	TP53I11																							
uc001mym.3	TP53I11																							
uc001myn.3	LOC221122																							
uc001myo.3	PRDM11																							
uc001myq.2	SYT13																							
uc001myr.1	FLJ41423																							
uc001mys.2	CHST1																							
uc001myt.1	DQ600225																							
uc001myu.3	DQ580411																							
uc001myv.3	DQ597512																							
uc001myy.1	DQ592387																							
uc001myz.3	DQ601289																							
uc001mza.3	DQ583612																							
uc001mzb.3	DQ586202																							
uc001mzc.2	DQ576239																							
uc001mzd.3	DQ571241																							
uc001mzg.3	DQ589925																							
uc001mzh.3	DQ590864																							
uc001mzm.1	DQ595026																							
uc001mzp.3	DQ589384																							
uc001mzq.3	DQ595965																							
uc001mzs.1	DQ570864																							
uc001mzu.3	DQ576075																							
uc001mzv.3	DQ576996																							
uc001mzw.1	DQ594520																							
uc001mzx.1	DQ585153																							
uc001mzy.1	DQ577389																							
uc001mzz.2	DQ594870																							
uc001naa.3	DQ585460																							
uc001nab.2	DQ591858																							
uc001nac.3	DQ591724																							
uc001nad.3	DQ578236																							
uc001naf.3	DQ575869																							
uc001nah.1	DQ585760																							
uc001nai.3	DQ572786																							
uc001naj.3	DQ585275																							
uc001nak.3	DQ582858																							
uc001nal.3	DQ577965																							
uc001nan.1	DQ585129																							
uc001nao.3	DQ594272																							
uc001nap.1	DQ595836																							
uc001naq.3	DQ573660																							
uc001nar.3	DQ588228																							
uc001nas.1	DQ599087																							
uc001nau.3	DQ592438																							
uc001nav.3	DQ587606																							
uc001naw.1	DQ584521																							
uc001nax.1	DQ601595																							
uc001nay.3	DQ598045																							
uc001nba.3	DQ576584																							
uc001nbc.3	DQ579844																							
uc001nbe.3	DQ572830																							
uc001nbf.2	DQ595071																							
uc001nbg.3	DQ576722																							
uc001nbh.1	DQ595234																							
uc001nbi.2	DQ589004																							
uc001nbj.3	DQ598861																							
uc001nbl.3	DQ577434																							
uc001nbm.1	DQ574214																							
uc001nbn.3	DKFZp779M0652																							
uc001nbo.3	SLC35C1																							
uc001nbp.3	SLC35C1																							
uc001nbr.3	MAPK8IP1																							
uc001nbs.4	C11orf94																							
uc001nbt.3	PEX16																							
uc001nbu.3	PEX16																							
uc001nbv.1	GYLTL1B																							
uc001nbw.1	GYLTL1B																							
uc001nbx.1	GYLTL1B																							
uc001nca.1	PHF21A																							
uc001ncb.4	PHF21A																							
uc001ncc.4	PHF21A																							
uc001nce.2	PHF21A																							
uc001ncg.3	CREB3L1																							
uc001nch.2	DGKZ																							
uc001nci.2	DGKZ																							
uc001ncj.2	DGKZ																							
uc001nck.2	DGKZ																							
uc001ncl.2	DGKZ																							
uc001ncm.2	DGKZ																							
uc001ncn.1	DGKZ																							
uc001nco.3	MDK																							
uc001ncp.3	MDK																							
uc001ncq.3	MDK																							
uc001nct.1	CHRM4																							
uc001ncu.1	AMBRA1																							
uc001ncv.2	AMBRA1																							
uc001ncw.2	AMBRA1																							
uc001ncx.2	AMBRA1																							
uc001ncy.3	HARBI1																							
uc001ncz.3	ATG13																							
uc001nda.3	ATG13																							
uc001ndb.3	ATG13																							
uc001ndc.3	ATG13																							
uc001ndd.3	ARHGAP1																							
uc001nde.2	ZNF408																							
uc001ndf.4	F2																							
uc001ndh.1	CKAP5																							
uc001ndi.2	CKAP5																							
uc001ndj.2	CKAP5																							
uc001ndk.3	SNORD67																							
uc001ndl.3	LOC100507401																							
uc001ndm.4	LRP4																							
uc001ndn.4	LRP4																							
uc001ndp.3	C11orf49																							
uc001ndq.3	C11orf49																							
uc001ndr.3	C11orf49																							
uc001nds.3	C11orf49																							
uc001ndt.3	ARFGAP2																							
uc001ndu.3	ARFGAP2																							
uc001ndw.3	PACSIN3																							
uc001ndx.3	PACSIN3																							
uc001ndy.3	PACSIN3																							
uc001neb.2	DDB2																							
uc001nec.2	DDB2																							
uc001ned.2	DDB2																							
uc001nee.2	DDB2																							
uc001nef.2	DDB2																							
uc001nei.3	ACP2																							
uc001nek.3	NR1H3																							
uc001nem.3	NR1H3																							
uc001nen.4	NR1H3																							
uc001neq.2	MADD																							
uc001ner.1	MADD																							
uc001nes.1	MADD																							
uc001net.1	MADD																							
uc001neu.1	MADD																							
uc001nev.1	MADD																							
uc001new.2	MADD																							
uc001nex.2	MADD																							
uc001nez.2	MADD																							
uc001nfb.1	SPI1																							
uc001nfc.1	SPI1																							
uc001nfd.3	SLC39A13																							
uc001nfe.1	SLC39A13																							
uc001nff.4	SLC39A13																							
uc001nfh.2	PSMC3																							
uc001nfi.2	RAPSN																							
uc001nfj.2	RAPSN																							
uc001nfk.2	CELF1																							
uc001nfl.3	CELF1																							
uc001nfm.3	CELF1																							
uc001nfn.3	CELF1																							
uc001nfp.3	CELF1																							
uc001nfr.1	CELF1																							
uc001nfs.4	PTPMT1																							
uc001nft.3	NDUFS3																							
uc001nfu.4	PTPMT1																							
uc001nfv.4	PTPMT1																							
uc001nfw.2	KBTBD4																							
uc001nfx.3	KBTBD4																							
uc001nfy.3	KBTBD4																							
uc001nfz.3	KBTBD4																							
uc001nga.2	NDUFS3																							
uc001ngb.2	FAM180B																							
uc001ngc.2	C1QTNF4																							
uc001ngf.3	AGBL2																							
uc001ngg.3	AGBL2																							
uc001ngh.1	AGBL2																							
uc001ngj.3	FNBP4																							
uc001ngl.2	FNBP4																							
uc001ngm.3	NUP160																							
uc001ngn.1	NUP160																							
uc001ngo.4	PTPRJ																							
uc001ngp.4	PTPRJ																							
uc001ngs.1	OR4X2																							
uc001ngx.3	FOLH1																							
uc001ngy.3	FOLH1																							
uc001ngz.3	FOLH1																							
uc001nha.3	FOLH1																							
uc001nhd.3	LOC441601																							
uc001nhe.2	LOC646813																							
uc001nhf.1	LOC646813																							
uc001nhg.1	LOC646813																							
uc001nhh.1	LOC646813																							
uc001nhi.2	OR4A5																							
uc001nhl.1	LOC440041																							
uc001nhs.1	OR4S2																							
uc001nhw.1	OR5L1																							
uc001nhy.1	OR5L2																							
uc001nii.1	OR8H3																							
uc001nio.1	OR5T1																							
uc001nit.2	OR8U8																							
uc001nix.1	OR5M8																							
uc001niz.1	OR5M10																							
uc001nja.1	OR5M1																							
uc001njb.1	OR5AP2																							
uc001njg.1	AB231742																							
uc001nji.1	AK096987																							
uc001njj.1	AK092135																							
uc001njl.2	LRRC55																							
uc001njn.4	APLNR																							
uc001njo.3	APLNR																							
uc001njq.3	TNKS1BP1																							
uc001njr.3	TNKS1BP1																							
uc001njs.3	TNKS1BP1																							
uc001njt.3	SSRP1																							
uc001nju.3	P2RX3																							
uc001njv.2	PRG3																							
uc001nkc.3	PRG2																							
uc001nkd.3	PRG2																							
uc001nke.3	PRG2																							
uc001nkg.3	SLC43A3																							
uc001nkh.3	SLC43A3																							
uc001nki.3	SLC43A3																							
uc001nkk.3	SLC43A1																							
uc001nkl.3	SLC43A1																							
uc001nkm.1	TIMM10																							
uc001nkn.2	UBE2L6																							
uc001nko.2	UBE2L6																							
uc001nkp.1	SERPING1																							
uc001nkr.1	SERPING1																							
uc001nks.1	SERPING1																							
uc001nkt.1	AK096335																							
uc001nku.1	MIR130A																							
uc001nkv.4	YPEL4																							
uc001nkw.3	CLP1																							
uc001nkx.1	ZDHHC5																							
uc001nky.1	ZDHHC5																							
uc001nkz.1	ZDHHC5																							
uc001nla.1	MED19																							
uc001nlb.3	MED19																							
uc001nlc.2	TMX2																							
uc001nld.2	TMX2																							
uc001nle.2	TMX2																							
uc001nlf.2	CTNND1																							
uc001nlh.1	CTNND1																							
uc001nli.4	CTNND1																							
uc001nlj.4	CTNND1																							
uc001nlk.4	CTNND1																							
uc001nll.4	CTNND1																							
uc001nlm.4	CTNND1																							
uc001nln.4	CTNND1																							
uc001nlo.4	CTNND1																							
uc001nlp.4	CTNND1																							
uc001nlq.4	CTNND1																							
uc001nlr.4	CTNND1																							
uc001nls.4	CTNND1																							
uc001nlt.4	CTNND1																							
uc001nlu.4	CTNND1																							
uc001nlv.4	CTNND1																							
uc001nlw.4	CTNND1																							
uc001nlx.4	CTNND1																							
uc001nly.4	CTNND1																							
uc001nlz.4	CTNND1																							
uc001nma.4	CTNND1																							
uc001nmb.4	CTNND1																							
uc001nmc.4	CTNND1																							
uc001nmd.4	CTNND1																							
uc001nme.4	CTNND1																							
uc001nmf.4	CTNND1																							
uc001nmg.4	CTNND1																							
uc001nmh.4	CTNND1																							
uc001nmi.4	CTNND1																							
uc001nmj.3	OR9Q1																							
uc001nml.1	OR9I1																							
uc001nmq.1	OR10W1																							
uc001nmw.3	LPXN																							
uc001nmx.4	ZFP91																							
uc001nmy.4	ZFP91																							
uc001nna.4	CNTF																							
uc001nnb.3	GLYAT																							
uc001nnc.3	GLYAT																							
uc001nnd.4	GLYATL2																							
uc001nne.1	AB231721																							
uc001nnf.3	GLYATL1																							
uc001nng.1	LOC283194																							
uc001nnh.2	GLYATL1																							
uc001nni.2	GLYATL1																							
uc001nnj.2	GLYATL1																							
uc001nnk.1	AB231722																							
uc001nnl.3	FAM111B																							
uc001nnm.3	FAM111B																							
uc001nnn.1	BC028022																							
uc001nno.3	FAM111A																							
uc001nnp.3	FAM111A																							
uc001nnq.3	FAM111A																							
uc001nnr.2	DTX4																							
uc001nns.2	DTX4																							
uc001nnu.4	MPEG1																							
uc001nnx.1	OR5A1																							
uc001nnz.1	OR4D10																							
uc001noa.1	OR4D11																							
uc001noc.1	OSBP																							
uc001noe.4	PATL1																							
uc001nof.1	OR10V1																							
uc001nog.3	STX3																							
uc001noh.2	MRPL16																							
uc001noi.3	GIF																							
uc001noj.2	TCN1																							
uc001nok.1	AB231702																							
uc001nol.3	PLAC1L																							
uc001nom.3	MS4A3																							
uc001non.3	MS4A3																							
uc001noo.3	MS4A3																							
uc001nop.3	MS4A2																							
uc001noq.3	MS4A6A																							
uc001not.3	MS4A6A																							
uc001nov.2	AB231731																							
uc001now.2	AB231729																							
uc001nox.2	MS4A4E																							
uc001noy.2	MS4A4E																							
uc001noz.3	MS4A4A																							
uc001npa.3	MS4A4A																							
uc001npc.3	MS4A4A																							
uc001npd.3	MS4A6E																							
uc001npe.3	MS4A7																							
uc001npf.3	MS4A7																							
uc001npg.3	MS4A7																							
uc001nph.3	MS4A7																							
uc001npi.3	MS4A14																							
uc001npj.3	MS4A14																							
uc001npk.3	MS4A14																							
uc001npl.3	MS4A14																							
uc001npm.3	MS4A14																							
uc001npn.3	MS4A14																							
uc001npo.3	MS4A5																							
uc001npp.3	MS4A1																							
uc001npq.3	MS4A1																							
uc001npr.3	MS4A12																							
uc001nps.3	MS4A13																							
uc001npt.3	LINC00301																							
uc001npu.3	LINC00301																							
uc001npv.3	MS4A8B																							
uc001npw.1	AB231761																							
uc001npx.2	MS4A15																							
uc001npy.2	MS4A15																							
uc001npz.1	MS4A10																							
uc001nqa.2	CCDC86																							
uc001nqc.2	PTGDR2																							
uc001nqd.3	ZP1																							
uc001nqe.3	ZP1																							
uc001nqf.3	PRPF19																							
uc001nqg.3	TMEM109																							
uc001nqi.3	TMEM132A																							
uc001nqj.3	TMEM132A																							
uc001nqk.3	TMEM132A																							
uc001nql.1	TMEM132A																							
uc001nqn.2	SLC15A3																							
uc001nqo.2	SLC15A3																							
uc001nqp.3	CD6																							
uc001nqq.3	CD6																							
uc001nqr.3	CD6																							
uc001nqs.3	CD6																							
uc001nqt.3	CD6																							
uc001nqv.1	VPS37C																							
uc001nqw.1	VPS37C																							
uc001nqx.3	PGA3																							
uc001nqy.3	PGA4																							
uc001nqz.3	PGA5																							
uc001nra.3	VWCE																							
uc001nrb.3	VWCE																							
uc001nrc.4	DDB1																							
uc001nrd.2	DDB1																							
uc001nre.3	DAK																							
uc001nrf.4	CYBASC3																							
uc001nrg.3	CYBASC3																							
uc001nrl.2	TMEM138																							
uc001nrn.2	TMEM216																							
uc001nrp.3	CPSF7																							
uc001nrq.3	CPSF7																							
uc001nrr.3	CPSF7																							
uc001nrs.1	CPSF7																							
uc001nrt.3	SDHAF2																							
uc001nru.2	PPP1R32																							
uc001nrv.3	SYT7																							
uc001nrw.1	SYT7																							
uc001nrx.1	SYT7																							
uc001nry.3	BC040894																							
uc001nrz.1	RPLP0P2																							
uc001nsa.3	DAGLA																							
uc001nsc.1	C11orf9																							
uc001nsd.3	DKFZP434K028																							
uc001nse.1	C11orf9																							
uc001nsf.3	C11orf10																							
uc001nsg.3	FEN1																							
uc001nsh.3	FADS1																							
uc001nsj.2	FADS2																							
uc001nsk.3	FADS2																							
uc001nsl.1	FADS2																							
uc001nsm.3	FADS3																							
uc001nso.3	RAB3IL1																							
uc001nsp.3	RAB3IL1																							
uc001nsq.3	BEST1																							
uc001nsr.2	BEST1																							
uc001nss.3	BEST1																							
uc001nst.3	BEST1																							
uc001nsu.3	FTH1																							
uc001nsw.1	INCENP																							
uc001nsx.1	INCENP																							
uc001nsz.1	SCGB1D1																							
uc001nta.2	SCGB2A1																							
uc001ntb.3	SCGB1D2																							
uc001ntc.3	SCGB2A2																							
uc001ntd.1	SCGB1D4																							
uc001nte.4	ASRGL1																							
uc001ntf.4	ASRGL1																							
uc001ntg.4	ASRGL1																							
uc001nth.1	ASRGL1																							
uc001ntj.3	SCGB1A1																							
uc001ntk.1	AHNAK																							
uc001ntl.3	AHNAK																							
uc001ntm.1	EEF1G																							
uc001nto.2	TUT1																							
uc001ntq.2	MTA2																							
uc001ntr.1	EML3																							
uc001nts.1	EML3																							
uc001ntt.1	EML3																							
uc001ntu.1	EML3																							
uc001ntv.3	ROM1																							
uc001ntw.3	B3GAT3																							
uc001ntx.3	B3GAT3																							
uc001nua.3	GANAB																							
uc001nub.3	GANAB																							
uc001nuc.3	GANAB																							
uc001nud.3	INTS5																							
uc001nuf.3	C11orf48																							
uc001nug.1	METTL12																							
uc001nuh.3	METTL12																							
uc001nui.4	C11orf83																							
uc001nuj.3	UBXN1																							
uc001nuk.3	UBXN1																							
uc001nul.2	UBXN1																							
uc001nun.3	LRRN4CL																							
uc001nup.3	BSCL2																							
uc001nur.4	BSCL2																							
uc001nut.4	BSCL2																							
uc001nuu.2	HNRNPUL2																							
uc001nuv.3	GNG3																							
uc001nuw.3	HNRNPUL2																							
uc001nux.3	TTC9C																							
uc001nuy.3	TTC9C																							
uc001nuz.3	ZBTB3																							
uc001nva.3	POLR2G																							
uc001nvc.3	TAF6L																							
uc001nvd.4	TMEM179B																							
uc001nve.2	TMEM223																							
uc001nvf.1	NXF1																							
uc001nvg.1	NXF1																							
uc001nvh.3	STX5																							
uc001nvl.2	WDR74																							
uc001nvm.2	WDR74																							
uc001nvr.3	SNHG1																							
uc001nvs.3	SNHG1																							
uc001nvt.3	SNHG1																							
uc001nvu.3	SNHG1																							
uc001nvv.2	SNORD22																							
uc001nvw.1	SNORD30																							
uc001nvx.2	SNORD29																							
uc001nvy.1	SNORD28																							
uc001nvz.2	SNORD27																							
uc001nwa.4	SNORD25																							
uc001nwc.3	SLC3A2																							
uc001nwd.3	SLC3A2																							
uc001nwf.3	SLC3A2																							
uc001nwg.3	SLC3A2																							
uc001nwi.3	CHRM1																							
uc001nwj.3	SLC22A6																							
uc001nwk.3	SLC22A6																							
uc001nwl.3	SLC22A6																							
uc001nwm.3	SLC22A6																							
uc001nwn.1	SLC22A8																							
uc001nwo.3	SLC22A8																							
uc001nwp.2	SLC22A8																							
uc001nwr.1	SLC22A25																							
uc001nws.1	SLC22A25																							
uc001nwt.1	SLC22A25																							
uc001nwu.4	SLC22A10																							
uc001nww.3	SLC22A9																							
uc001nwx.3	SLC22A9																							
uc001nwy.2	HRASLS5																							
uc001nwz.2	HRASLS5																							
uc001nxa.2	LGALS12																							
uc001nxb.2	LGALS12																							
uc001nxc.2	LGALS12																							
uc001nxd.2	LGALS12																							
uc001nxe.2	LGALS12																							
uc001nxf.4	RARRES3																							
uc001nxg.1	HRASLS2																							
uc001nxh.2	PLA2G16																							
uc001nxi.2	PLA2G16																							
uc001nxj.1	DQ593252																							
uc001nxk.1	ATL3																							
uc001nxl.1	ATL3																							
uc001nxm.3	RTN3																							
uc001nxn.3	RTN3																							
uc001nxo.3	RTN3																							
uc001nxp.3	RTN3																							
uc001nxq.3	RTN3																							
uc001nxs.3	C11orf95																							
uc001nxt.3	C11orf84																							
uc001nxu.1	AK092098																							
uc001nxv.4	MARK2																							
uc001nxw.3	MARK2																							
uc001nxx.3	MARK2																							
uc001nxy.3	MARK2																							
uc001nxz.4	MARK2																							
uc001nyc.3	RCOR2																							
uc001nye.3	COX8A																							
uc001nyf.1	OTUB1																							
uc001nyg.1	OTUB1																							
uc001nyh.3	MACROD1																							
uc001nyi.1	FLRT1																							
uc001nyj.3	STIP1																							
uc001nyk.1	STIP1																							
uc001nyl.2	FERMT3																							
uc001nym.2	FERMT3																							
uc001nyn.3	TRPT1																							
uc001nyo.3	TRPT1																							
uc001nyp.4	NUDT22																							
uc001nyq.4	NUDT22																							
uc001nyr.1	AX747192																							
uc001nys.3	DNAJC4																							
uc001nyt.3	DNAJC4																							
uc001nyu.3	DNAJC4																							
uc001nyw.3	VEGFB																							
uc001nyx.3	VEGFB																							
uc001nyy.3	FKBP2																							
uc001nyz.3	FKBP2																							
uc001nza.3	PPP1R14B																							
uc001nzc.3	BAD																							
uc001nzd.3	BAD																							
uc001nze.2	GPR137																							
uc001nzf.3	GPR137																							
uc001nzh.2	GPR137																							
uc001nzi.3	GPR137																							
uc001nzj.1	KCNK4																							
uc001nzk.1	KCNK4																							
uc001nzl.1	KCNK4																							
uc001nzm.4	KCNK4																							
uc001nzn.1	KCNK4																							
uc001nzo.2	KCNK4																							
uc001nzq.1	ESRRA																							
uc001nzr.1	ESRRA																							
uc001nzs.1	ESRRA																							
uc001nzt.3	TRMT112																							
uc001nzu.3	PRDX5																							
uc001nzv.3	PRDX5																							
uc001nzw.3	PRDX5																							
uc001nzy.3	CCDC88B																							
uc001nzz.1	CCDC88B																							
uc001oaa.3	CCDC88B																							
uc001oab.1	CCDC88B																							
uc001oac.3	CCDC88B																							
uc001oad.3	RPS6KA4																							
uc001oae.3	RPS6KA4																							
uc001oaf.3	RPS6KA4																							
uc001oag.4	BC038767																							
uc001oah.1	SLC22A11																							
uc001oai.3	SLC22A11																							
uc001oak.1	SLC22A11																							
uc001oal.1	SLC22A12																							
uc001oam.1	SLC22A12																							
uc001oan.1	SLC22A12																							
uc001oao.3	NRXN2																							
uc001oap.3	NRXN2																							
uc001oaq.3	NRXN2																							
uc001oas.3	NRXN2																							
uc001oat.3	RASGRP2																							
uc001oau.3	RASGRP2																							
uc001oaw.1	RASGRP2																							
uc001oax.4	PYGM																							
uc001oay.4	PYGM																							
uc001oaz.2	SF1																							
uc001oba.2	SF1																							
uc001obb.2	SF1																							
uc001obc.2	SF1																							
uc001obd.2	SF1																							
uc001obe.2	SF1																							
uc001obf.3	SF1																							
uc001obh.3	MAP4K2																							
uc001obi.3	MAP4K2																							
uc001obj.3	MEN1																							
uc001obk.3	MEN1																							
uc001obl.3	MEN1																							
uc001obm.3	MEN1																							
uc001obn.3	MEN1																							
uc001obo.3	MEN1																							
uc001obq.3	MEN1																							
uc001obr.3	MEN1																							
uc001obs.4	CDC42BPG																							
uc001obu.1	EHD1																							
uc001obv.1	EHD1																							
uc001obw.3	ATG2A																							
uc001obx.3	ATG2A																							
uc001oby.3	PPP2R5B																							
uc001obz.3	PPP2R5B																							
uc001oca.3	GPHA2																							
uc001ocb.1	C11orf85																							
uc001occ.1	C11orf85																							
uc001ocd.1	C11orf85																							
uc001oce.1	BATF2																							
uc001ocf.1	BATF2																							
uc001och.4	ARL2																							
uc001oci.4	SNX15																							
uc001ock.3	SNX15																							
uc001ocm.3	SAC3D1																							
uc001ocn.3	NAALADL1																							
uc001oco.3	AB231703																							
uc001ocp.2	CDCA5																							
uc001ocq.1	ZFPL1																							
uc001ocr.1	C11orf2																							
uc001ocs.1	C11orf2																							
uc001oct.3	TM7SF2																							
uc001ocu.3	TM7SF2																							
uc001ocv.3	TM7SF2																							
uc001ocw.3	ZNHIT2																							
uc001ocx.3	FAU																							
uc001oda.2	MRPL49																							
uc001odb.3	SYVN1																							
uc001odc.3	SYVN1																							
uc001odf.2	CAPN1																							
uc001odg.2	CAPN1																							
uc001odi.4	SLC22A20																							
uc001odj.3	POLA2																							
uc001odk.3	POLA2																							
uc001odl.3	CDC42EP2																							
uc001odm.3	DPF2																							
uc001odo.4	TIGD3																							
uc001odq.1	SLC25A45																							
uc001odr.1	SLC25A45																							
uc001ods.1	SLC25A45																							
uc001odt.1	SLC25A45																							
uc001odu.4	FRMD8																							
uc001ody.3	AF113016																							
uc001odz.3	BC010924																							
uc001oea.1	SCYL1																							
uc001oeb.1	SCYL1																							
uc001oec.1	SCYL1																							
uc001oee.1	SCYL1																							
uc001oef.3	LTBP3																							
uc001oeg.3	LTBP3																							
uc001oeh.3	LTBP3																							
uc001oei.3	LTBP3																							
uc001oej.3	LTBP3																							
uc001oek.3	SSSCA1																							
uc001oel.2	FAM89B																							
uc001oem.2	FAM89B																							
uc001oen.2	FAM89B																							
uc001oeo.4	EHBP1L1																							
uc001oeq.3	KCNK7																							
uc001oer.3	KCNK7																							
uc001oes.3	KCNK7																							
uc001oeu.3	KCNK7																							
uc001oev.3	MAP3K11																							
uc001oew.3	MAP3K11																							
uc001oex.1	MAP3K11																							
uc001oey.2	PCNXL3																							
uc001oez.2	PCNXL3																							
uc001ofb.2	SIPA1																							
uc001ofd.2	SIPA1																							
uc001ofe.2	RELA																							
uc001off.3	RELA																							
uc001ofg.3	RELA																							
uc001ofh.3	RELA																							
uc001ofi.3	KAT5																							
uc001ofj.3	KAT5																							
uc001ofk.3	KAT5																							
uc001ofl.3	KAT5																							
uc001ofm.3	RNASEH2C																							
uc001ofn.3	RNASEH2C																							
uc001ofo.4	DKFZp761E198																							
uc001ofp.3	OVOL1																							
uc001ofq.3	OVOL1																							
uc001ofr.3	SNX32																							
uc001ofs.3	CFL1																							
uc001oft.3	CFL1																							
uc001ofv.4	MUS81																							
uc001ofx.4	MUS81																							
uc001ofy.4	EFEMP2																							
uc001ofz.3	EFEMP2																							
uc001ogc.1	CTSW																							
uc001ogd.3	FIBP																							
uc001oge.3	FIBP																							
uc001ogf.3	CCDC85B																							
uc001ogg.1	FOSL1																							
uc001ogi.3	C11orf68																							
uc001ogj.2	DRAP1																							
uc001ogk.1	TSGA10IP																							
uc001ogl.3	SART1																							
uc001ogm.2	EIF1AD																							
uc001ogn.2	EIF1AD																							
uc001ogo.3	BANF1																							
uc001ogp.3	BANF1																							
uc001ogq.1	AX747517																							
uc001ogr.3	CST6																							
uc001ogs.1	AX747517																							
uc001ogt.3	CATSPER1																							
uc001ogu.1	AX746604																							
uc001ogv.3	GAL3ST3																							
uc001ogw.3	GAL3ST3																							
uc001ogx.1	SF3B2																							
uc001ogy.1	SF3B2																							
uc001ogz.1	PACS1																							
uc001oha.2	PACS1																							
uc001ohb.2	KLC2																							
uc001ohc.2	KLC2																							
uc001ohd.2	KLC2																							
uc001ohe.1	KLC2																							
uc001ohf.3	RAB1B																							
uc001ohg.1	AK125412																							
uc001ohi.1	CNIH2																							
uc001ohk.4	YIF1A																							
uc001ohl.3	TMEM151A																							
uc001ohm.1	CD248																							
uc001ohn.1	RIN1																							
uc001oho.1	BRMS1																							
uc001ohp.1	BRMS1																							
uc001ohr.3	B3GNT1																							
uc001oht.3	SLC29A2																							
uc001ohu.3	SLC29A2																							
uc001ohv.3	SLC29A2																							
uc001ohw.1	AX747485																							
uc001ohx.1	NPAS4																							
uc001ohy.4	MRPL11																							
uc001ohz.4	MRPL11																							
uc001oia.4	MRPL11																							
uc001oib.2	PELI3																							
uc001oic.4	PELI3																							
uc001oid.4	PELI3																							
uc001oif.1	DPP3																							
uc001oig.1	DPP3																							
uc001oih.1	DPP3																							
uc001oii.1	BBS1																							
uc001oij.1	BBS1																							
uc001oik.1	BBS1																							
uc001oil.1	BBS1																							
uc001oin.1	ZDHHC24																							
uc001oip.3	CTSF																							
uc001oiq.4	CCDC87																							
uc001oir.3	CCS																							
uc001oit.3	RBM14																							
uc001oiv.3	RBM4																							
uc001oiw.2	RBM4																							
uc001oix.2	RBM4																							
uc001oiz.2	RBM4																							
uc001oja.3	RBM4B																							
uc001ojb.3	RBM4B																							
uc001ojc.1	SPTBN2																							
uc001ojd.3	SPTBN2																							
uc001oje.1	SPTBN2																							
uc001ojj.3	C11orf80																							
uc001ojk.1	RCE1																							
uc001ojl.1	RCE1																							
uc001ojn.1	PC																							
uc001ojo.1	PC																							
uc001ojp.1	PC																							
uc001ojq.1	LRFN4																							
uc001ojr.3	LRFN4																							
uc001oju.3	SYT12																							
uc001ojv.3	RHOD																							
uc001ojw.3	KDM2A																							
uc001ojx.3	KDM2A																							
uc001ojy.3	KDM2A																							
uc001ojz.1	KDM2A																							
uc001oka.3	KDM2A																							
uc001okc.2	ANKRD13D																							
uc001okd.2	ANKRD13D																							
uc001oke.2	ANKRD13D																							
uc001okf.1	AK057681																							
uc001okg.2	ANKRD13D																							
uc001okh.2	ANKRD13D																							
uc001oki.2	ANKRD13D																							
uc001okj.3	SSH3																							
uc001okk.3	SSH3																							
uc001okl.3	SSH3																							
uc001okm.3	POLD4																							
