id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
AL122050	601.738685663713	1100.78827604311	2.87917720843271	0.00261555947777912	-8.57866470741187	0.00226341996484124	1
EDN1	275.412540730473	504.734075054599	0.226699541520953	0.000449146496591161	-11.1205262988721	0.00242968550074479	1
TP53I3	396.243800627746	1.86516000628465	869.498169373499	466.178862104981	8.8647397797677	0.00248477092290191	1
ZFAND2A	340.869111904197	2.17761155728197	747.298912320494	343.173652721264	8.42279498344117	0.00253577257025308	1
FAM183B	58.3017295930664	0	128.263805104746	Inf	Inf	0.00297004100643203	1
XBP1	353.792287806339	647.809197210846	0.971996520931576	0.00150043643269735	-9.38040208546925	0.00315868010426819	1
LOC401022	344.854730928968	5.72659024244107	751.808499752801	131.283795055036	7.03654503870505	0.00317798386702126	1
CUEDC2	750.851249577944	7.47409933438006	1642.90382987022	219.812950881324	7.78013257889097	0.00337441642724718	1
CPA4	733.572426436075	1341.90615876595	3.57194764022372	0.0026618460738779	-8.55335713748203	0.00353573141300289	1
CFB	1037.70667475571	1897.79386272787	5.60204918912611	0.00295187443649638	-8.4041529296922	0.0036270964589522	1
SNORA71D	30.6473267553133	0	67.4241188616892	Inf	Inf	0.00381575625154579	1
TCEAL3	376.64454291737	689.943655027922	0.68560838470881	0.000993716486429697	-9.97487807903438	0.00396094066537096	1
SPR	170.516985996797	1.50126417477904	373.335852183218	248.68098397017	7.9581523821674	0.00421067471519984	1
HLA-DMA	194.257806052046	355.704527513664	0.521740298104812	0.00146678003159454	-9.41313175388413	0.0043005557635275	1
OXER1	133.460612867607	0	293.613348308736	Inf	Inf	0.00437595179672265	1
GABARAPL1	890.492070873672	1631.40805271361	1.39289266574986	0.00085379783643521	-10.1938178728179	0.00447003745847397	1
AK310226	262.326826900649	480.932515984522	0	0	-Inf	0.004557738698559	1
TCEAL8	63.9237896995583	117.19361444919	0	0	-Inf	0.00474109648379021	1
BC042091	61.7863886559708	0	135.930055043136	Inf	Inf	0.0048070268374649	1
AX747952	147.976619488887	0.526554364834073	324.916697637751	617.062015505537	9.26927167909472	0.00520016095504483	1
RNASEH2A	329.593161272053	2.84843643765534	721.686831073331	253.362448792215	7.98505890621981	0.00531250566464428	1
ADAMTS9	5000.008581464	9127.48927326054	47.0317513081512	0.0051527588694005	-7.60043920353534	0.00532871381575269	1
TPBG	357.107034288554	5.35514913149314	779.209296477028	145.506554036856	7.18494032753726	0.00533347214451025	1
IKBKE	545.2678823174	995.437617114754	5.06420056057514	0.0050874112787234	-7.61885255476465	0.00580513898392654	1
TIMP3	3338.24438077167	6103.21899752498	20.2748406677044	0.00332199134193388	-8.23373597143565	0.0059721076140632	1
LPAR1	931.55591238836	1692.27477694825	18.6932749164963	0.0110462409362425	-6.50030068941576	0.00655384640797773	1
AHNAK2	743.895035726489	26.9406270144003	1604.240326181	59.5472527541211	5.89596304496782	0.00676314352924229	1
AK123998	140.487343419625	1.62519145086543	307.121925782136	188.975843811258	7.56205802082957	0.00723283879846763	1
C22orf32	149.658024429462	274.238783781905	0.161113206531023	0.00058749241923109	-10.7331421437157	0.00736117476601256	1
LYZ	2569.84619807307	4706.82412156633	5.47268988115563	0.00116271391065584	-9.74828812375108	0.00820119916511386	1
DKK1	1245.72794173589	2282.64987702023	1.4216193946782	0.000622793451150721	-10.6489586053991	0.00826704739711541	1
FKBPL	32.2037011500587	0.285318453872947	70.5057603854815	247.112513854003	7.94902426081367	0.00827864380332068	1
BC043227	111.77189749675	0.81187281870702	244.923927110401	301.67770304278	8.23686426080911	0.00845982924883982	1
LOC401588	29.5023697068018	54.0876777958034	0	0	-Inf	0.00865327512581415	1
FOXP4	523.237200553451	950.175749663778	10.9109416210582	0.011483077341133	-6.44434686920299	0.00871048080178867	1
C4orf26	170.334951212571	1.11654005498584	373.397044601674	334.423331195593	8.38553169097943	0.00874860883670664	1
F8A3	400.532809415626	732.27683545079	2.43997817342877	0.00333204336844374	-8.22937710633812	0.00879842578567457	1
FAM213B	148.732227256634	272.675749970496	0	0	-Inf	0.00886744170285463	1
LGALSL	41.0719569639931	75.2985877673206	0	0	-Inf	0.00892165138509994	1
RNF167	281.12690178558	514.37094271191	1.23405267398528	0.0023991492744108	-8.70326136014774	0.00905323648774595	1
C1orf192	442.183299538868	810.574924345624	0.113349770760477	0.000139838733417499	-12.803948356679	0.00905765306909342	1
AX747741	117.128149844877	213.872471545073	1.03496380464067	0.00483916325071577	-7.69102667484904	0.00944485034394163	1
AX747193	117.78208208445	215.933817154825	0	0	-Inf	0.0101816010814465	1
HLA-DMB	266.902928948215	488.127653544719	1.43325943240991	0.00293623895716985	-8.41181490221133	0.010274403786048	1
CYP2R1	210.645844035307	7.24545925563334	454.726305770916	62.7601770608767	5.97177751737324	0.0103643776589341	1
BX647356	145.055376834718	0.669426059346908	318.318517765164	475.509600082966	8.89333065778438	0.0106533891253446	1
CD37	70.6910693261467	129.270999791641	0.395152767554097	0.0030567781497088	-8.35377243440945	0.0109141016487736	1
LOC100507547	9.42864002234874	0	20.7430080491672	Inf	Inf	0.0109255103765046	1
AX747164	113.361290409009	207.45908360409	0.443938574912275	0.00213988497008633	-8.86825103829097	0.0110812056941323	1
LCN2	126.316052918015	230.862283847391	0.86057580276342	0.00372765870813395	-8.06751450691836	0.0113178660954649	1
C16orf87	313.017869555125	573.176275321672	0.827782635268455	0.00144420254450325	-9.43551119516643	0.01206736770173	1
GSTA4	218.62422130776	3.63292816690374	476.613773076787	131.192732468199	7.03554399263856	0.0123477022617239	1
