id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
OR6C3	253460.749541844	506921.499083687	0	0	-Inf	1.65587707131938e-19	2.80744509536974e-16
OR10A7	253460.555383964	506921.110767928	0	0	-Inf	1.65588288411183e-19	2.80744509536974e-16
OR6C74	253460.555383964	506921.110767928	0	0	-Inf	1.65588288411183e-19	2.80744509536974e-16
OR6C6	253460.555383964	506921.110767928	0	0	-Inf	1.65588288411183e-19	2.80744509536974e-16
OR6C1	253460.555383964	506921.110767928	0	0	-Inf	1.65588288411183e-19	2.80744509536974e-16
OR6C75	253460.46422339	506920.92844678	0	0	-Inf	1.65589141447205e-19	2.80744509536974e-16
OR6C65	253460.46422339	506920.92844678	0	0	-Inf	1.65589141447205e-19	2.80744509536974e-16
OR6C2	253428.717991196	506857.435982392	0	0	-Inf	1.65802331292793e-19	2.80744509536974e-16
OR6C76	253428.575331969	506857.150663938	0	0	-Inf	1.65802395042519e-19	2.80744509536974e-16
OR6C70	253428.508556556	506857.017113112	0	0	-Inf	1.65803540051589e-19	2.80744509536974e-16
OR6C68	253428.508556556	506857.017113112	0	0	-Inf	1.65803540051589e-19	2.80744509536974e-16
OR6C4	253428.417395982	506856.834791964	0	0	-Inf	1.65826644735366e-19	2.80744509536974e-16
OR10P1	253428.417395982	506856.834791964	0	0	-Inf	1.65826644735366e-19	2.80744509536974e-16
VENTXP1	18617.5182152274	37234.4963738719	0.540056582865144	1.45042000150192e-05	-16.0731697491313	1.75664084137321e-07	0.00027615648769845
DQ587539	1734.04429958953	3468.08859917906	0	0	-Inf	0.000112109755931103	0.129864400962508
DQ582260	1734.04429958953	3468.08859917906	0	0	-Inf	0.000112109755931103	0.129864400962508
DQ596206	1734.04429958953	3468.08859917906	0	0	-Inf	0.000112109755931103	0.129864400962508
DQ584320	1734.04429958953	3468.08859917906	0	0	-Inf	0.000112109755931103	0.129864400962508
DQ593554	1734.04429958953	3468.08859917906	0	0	-Inf	0.000112109755931103	0.129864400962508
