id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
HNRPDL	18383.2658734749	36766.0391176776	0.492629272187248	1.33990303010472e-05	-16.1875118790144	4.05746534370296e-08	1.35604877944995e-05
QSER1	10521.3529819408	21042.7059638815	0	0	-Inf	4.07144472394899e-08	1.35604877944995e-05
ANXA5	18122.3094488012	36243.1410097859	1.47788781656174	4.07770346439538e-05	-14.5818836098232	4.40288559851222e-08	1.44810907335067e-05
RPS6	16427.4423491402	32854.3920690083	0.492629272187248	1.49943201247649e-05	-16.0252243656924	4.95651080268366e-08	1.6100705214841e-05
FTH1	8567.75365950895	17134.7683751096	0.738943908280871	4.31254098161186e-05	-14.5011023078181	5.60798667508246e-08	1.79947982188744e-05
POLA1	26447.7685775315	52893.5666379743	1.97051708874899	3.72543810901623e-05	-14.7122303789187	5.76615200084603e-08	1.82793965597905e-05
EEA1	13947.5715465145	27895.143093029	0	0	-Inf	5.91018196887716e-08	1.83029857700681e-05
PNN	14397.5165147923	28793.5551417681	1.47788781656174	5.13270351398154e-05	-14.2499215474676	5.9127158348122e-08	1.83029857700681e-05
LOC643339	24004.2339339082	48004.7731482751	3.69471954140436	7.69656702676683e-05	-13.6654253841945	6.81539905966525e-08	2.08519511695247e-05
TUBB4B	13861.1915701601	27721.644196412	0.738943908280871	2.66558470718888e-05	-15.1951884455287	7.07939340799134e-08	2.14106895805825e-05
SETX	11102.0482914514	22204.0965829028	0	0	-Inf	9.0631649693292e-08	2.69123910698505e-05
EIF3A	31676.0595448775	63344.483336036	7.63575371890234	0.000120543310431556	-13.0181607889575	9.10308150355994e-08	2.69123910698505e-05
FNIP1	15518.6567184467	31034.8502905324	2.46314636093624	7.936710948748e-05	-13.6210992102679	1.08574377945014e-07	3.17423225832135e-05
EPHA5	8642.66862293423	17285.3372458685	0	0	-Inf	1.11907242276813e-07	3.21427769062618e-05
DST	85828.3294995094	171580.30146183	76.3575371890234	0.000445025078860874	-11.1338257398104	1.12387331840076e-07	3.21427769062618e-05
IPO7	10855.2860998856	21710.3258851351	0.246314636093624	1.13455061612996e-05	-16.4275195004986	1.24434245453478e-07	3.52055254448593e-05
RPS23	16752.4950347215	33502.280608446	2.70946099702986	8.08739270229502e-05	-13.593965807844	1.27127563584996e-07	3.55848984366852e-05
DHX15	16864.6644003842	33727.3582836797	1.97051708874899	5.84248867692226e-05	-14.0630574414516	1.41422915352644e-07	3.91696815658817e-05
C2orf67	11867.2506346759	23734.5012693517	0	0	-Inf	1.56868851583164e-07	4.29951377380855e-05
SMA4	102385.928176176	204665.941058831	105.915293520258	0.000517503268850253	-10.9161444040116	1.67277625084379e-07	4.5375349187837e-05
CERS6	11978.4355625541	23956.8711251083	0	0	-Inf	1.69602187429081e-07	4.55364566901426e-05
RAB31	16251.958215003	32503.916430006	0	0	-Inf	1.73895119263982e-07	4.62174583643827e-05
LOC100133091	16530.0530759737	33059.8598373114	0.246314636093624	7.45056504491386e-06	-17.0342187267584	1.76357173677485e-07	4.64030995380197e-05
MAP3K2	8025.41321090524	16050.8264218105	0	0	-Inf	1.81574507930458e-07	4.70305877124966e-05
TBL1XR1	15895.1246368901	31789.2640152358	0.985258544374495	3.09934367748271e-05	-14.9776777342565	1.82316811594506e-07	4.70305877124966e-05
MLL	24260.1276317084	48514.8363414227	5.41892199405972	0.000111696182090033	-13.1281325059387	2.00727968274405e-07	5.12772262255935e-05
LCORL	10030.7459613842	20061.2456081323	0.246314636093624	1.22781327194247e-05	-16.3135493047111	2.02901066044867e-07	5.13339697093515e-05
AFF1	20562.2954692573	41122.866736062	1.72420245265537	4.19280704266504e-05	-14.541724037049	2.10187492503404e-07	5.267098383571e-05
MYH9	17290.6000029506	34580.707376629	0.492629272187248	1.42457835469319e-05	-16.0991054994451	2.24764510787843e-07	5.55410671099531e-05
NCAPG	7834.39640214121	15668.7928042824	0	0	-Inf	2.25862503069512e-07	5.55410671099531e-05
PSMB7	17571.3641234772	35137.8019542324	4.92629272187247	0.000140199228406178	-12.800233970127	2.34570618728279e-07	5.71483529627636e-05
RBFOX2	39119.5580208326	78211.2824877867	27.8335538785795	0.000355876454051574	-11.4563358969596	2.79078802340258e-07	6.73680866713474e-05
PCBD2	149060.02527538	297863.883329223	256.167221537369	0.000860014375271647	-10.1833516046652	2.93779916772437e-07	7.01225539515313e-05
ROCK1	8470.361026994	16940.4757393519	0.246314636093624	1.45400070153548e-05	-16.0696125090985	2.95819530579962e-07	7.01225539515313e-05
MGAT5	28122.7513091119	56245.5026182239	0	0	-Inf	3.28407740601717e-07	7.69133007059651e-05
SUPT3H	16140.8515802797	32280.4715873789	1.23157318046812	3.81522672967902e-05	-14.6778716789592	3.30313278343495e-07	7.69133007059651e-05
AGPS	12073.669362128	24146.8460949837	0.492629272187248	2.04013919768009e-05	-15.5809728845186	3.89754726853413e-07	8.99581260786579e-05
INPP5A	7031.4708240449	14062.9416480898	0	0	-Inf	4.08614829112986e-07	9.34910729010512e-05
RAP1GDS1	11758.510717891	23516.0361772376	0.985258544374495	4.1897305181397e-05	-14.5427830211199	4.14728461325868e-07	9.40718558138469e-05
RPS4X	18842.4483932062	37683.1725839598	1.72420245265537	4.57552359428805e-05	-14.4157036286007	4.52474520135411e-07	0.000101457789637064
SLC25A26	10101.138571438	20201.7845136038	0.492629272187248	2.43854334677965e-05	-15.3236208569418	4.55002249056457e-07	0.000101457789637064
HERC2	23528.4568206698	47048.5389437124	8.37469762718321	0.000178001226291054	-12.4558251992683	4.68266801671331e-07	0.000103538118366185
DDX18	6860.97173563601	13721.943471272	0	0	-Inf	5.15786086576109e-07	0.000113094695916588
LOC100288637	11168.7880195926	22336.5907806408	0.985258544374495	4.41096205795391e-05	-14.4685471236728	5.5279663491347e-07	0.000120208140973911
RPL13A	7395.71722566997	14791.4344513399	0	0	-Inf	5.84548329848651e-07	0.000126070784057194
PRPF40A	13383.1068461843	26764.982119188	1.23157318046812	4.60143472162155e-05	-14.4075567126054	5.91392003357725e-07	0.000126509808067874
SEH1L	7239.41485246439	14478.8297049288	0	0	-Inf	6.03554456248221e-07	0.000128070361716155
COPB1	5646.05850228856	11292.1170045771	0	0	-Inf	6.12611694840566e-07	0.00012895231131716
PSPH	11190.7842351239	22381.0758409756	0.492629272187248	2.20109737211709e-05	-15.4714175058711	6.3065764421779e-07	0.00013169733281475
WDFY3	9887.4099925319	19774.3273557916	0.492629272187248	2.49125678625404e-05	-15.292766739425	6.81714552963472e-07	0.00014123837257933
