DDX11L1	2.55965187587065	1.84981070399521	2.48456214616929	3.37697943615605	1.72971427367538	2.71045679810189
WASH7P	4.14795470758769	3.61712121620417	4.27217466405017	4.70808899448233	4.42988174610727	3.77151484376113
FAM138A	1.89979028968133	1.66077309748243	1.99511560714115	4.11563625778475	-0.0494741802664722	-0.0494741802664722
OR4F5	-0.0494741802664722	-0.0494741802664722	-0.0494741802664722	4.17256243150772	-0.0494741802664722	-0.0494741802664722
LOC729737	1.89979028968133	2.86164840218658	4.13000506562554	1.92369739393035	2.93927839503148	3.05000185031913
DQ597235	1.44281089105932	1.27294769330339	1.80321015267504	3.11154273893479	1.88073794443987	2.04994646762522
DQ599768	1.44281089105932	2.02683383879608	2.06401810567376	3.11154273893479	1.88073794443987	-0.0494741802664722
LOC100132287	2.67144307432616	3.16795708504731	4.61358519165078	2.15745174596825	3.00438904714259	3.22260331066343
BC036251	1.44281089105932	1.27294769330339	2.43128943098806	3.48338170119876	2.6458926117787	1.85742383043365
M37726	3.77628990990551	4.63213244538998	3.98869102668759	2.15745174596825	4.72230621141941	4.84760502506787
LOC100133331	3.66068714102672	4.2536247909889	4.7079428027193	3.93929143611583	3.72087656125727	5.35545223441728
DQ575786	2.27621404898086	2.83940367598135	2.0311290538727	2.15745174596825	2.47125307601951	2.64579080705963
DQ599872	4.56552778399918	4.19128104359695	2.67640242290964	5.17907101285869	4.60644625340015	4.6584470346008
AK310751	3.6198794850681	4.09442614647825	3.7824260719498	2.15745174596825	3.63469276842137	5.3350914578423
LOC100288069	2.532111541445	3.63731052642967	3.42558138609911	3.99247214349182	3.426699879599	3.00760210668344
LOC643837	5.47239843382901	3.58163555222947	3.74691232065477	4.18093688612917	3.16195572811642	3.96199905999005
FAM41C	3.39738279392906	2.78408878782442	3.45754333431875	3.33147421310889	2.93927839503148	3.28764387423623
AK056486	1.44281089105932	-0.0494741802664722	1.16779664452291	3.34346565843777	1.98911469151765	2.61596159472816
SAMD11	1.84196857551669	2.54351482826962	3.14444044401719	3.39030619137334	2.45838821419902	2.63120492493811
NOC2L	3.7321519293992	3.98214083619729	3.71726610922941	3.96296437525841	3.58175744367585	2.65977003816239
KLHL17	1.69165890450418	2.84398124761398	2.53929867552167	3.71610746389628	3.41068563708424	2.34631872761819
PLEKHN1	2.31361579262443	3.06705224528434	3.62074089769213	4.12338821236783	1.88073794443987	2.11884318489157
C1orf170	3.20811565092973	-0.0494741802664722	2.0311290538727	4.12338821236783	-0.0494741802664722	1.70681936013475
HES4	2.18743950463488	-0.0494741802664722	3.07844703024167	3.4423423495772	-0.0494741802664722	1.70681936013475
ISG15	2.27621404898086	-0.0494741802664722	5.57641449896419	4.08191391568146	1.47925432026544	1.70681936013475
AGRN	3.91444433884236	4.38707146658707	4.66837234805929	4.08191391568146	3.5506355926028	2.54708714066791
BC033949	2.21172866738327	2.76716172741438	3.31137780702109	4.07661969029899	2.14231004182458	1.85742383043365
C1orf159	4.21428733067673	3.96675772974094	3.60309989248463	4.08191391568146	3.00682371163343	2.63120492493811
LOC254099	1.20331766645491	-0.0494741802664722	1.16779664452291	3.0542442266503	1.47925432026544	-0.0494741802664722
MIR200B	1.44281089105932	-0.0494741802664722	-0.0494741802664722	3.04305765763457	-0.0494741802664722	-0.0494741802664722
AK128833	2.10325044340175	1.76664341054718	1.73557873326714	3.04305765763457	2.0336176519425	1.96564814703654
TTLL10	3.00305621381442	2.14714857633495	2.38197306712184	3.01601388281489	2.20040838452915	2.31081377727001
TNFRSF18	-0.0494741802664722	-0.0494741802664722	1.73557873326714	2.91986393913997	1.72971427367538	-0.0494741802664722
TNFRSF4	1.20331766645491	1.27294769330339	-0.0494741802664722	4.33386287659936	-0.0494741802664722	-0.0494741802664722
SDF4	3.685529256102	3.8561440123758	4.00295281699365	5.04385941796546	2.2263524080454	2.81061956301875
B3GALT6	3.76249280217485	2.38915856220378	3.96182379917024	3.66120940690495	2.78101946321941	4.01374806826735
FAM132A	2.76940193214202	2.77290439898357	2.7814663008403	3.78474976124215	2.8830657932144	2.73313833589924
UBE2J2	3.27982566513874	3.77484938416266	3.77131295205656	4.23698103053822	3.64112158186993	3.39522977716906
SCNN1D	2.03434312143721	2.40635811699923	3.48429607581304	4.51862554442722	1.47925432026544	2.17699993868753
ACAP3	2.39296927823567	3.34312126554851	3.45646072431872	4.78979444164269	2.07344231442859	1.96564814703654
PUSL1	-0.0494741802664722	2.2100873393152	3.54530403587015	3.47208137143379	2.25058078908876	1.85742383043365
CPSF3L	2.87263895156575	3.77842895764751	4.31212012444283	4.20711523962925	2.76027491535835	3.67048188594183
GLTPD1	-0.0494741802664722	3.48509029361006	3.65144873496504	4.20594161251626	1.72971427367538	-0.0494741802664722
DVL1	3.62073552406535	3.05583139147853	3.62458185247553	3.92718935145471	3.85967540728118	3.4218603921499
MXRA8	2.10325044340175	2.7102721486586	3.48429607581304	4.55340525612019	2.35213295921674	2.50666243639332
AURKAIP1	3.34898452240976	3.28213602263024	3.77366965618263	4.55340525612019	3.39170721611616	1.70681936013475
CCNL2	3.16492737565133	4.65220399047807	3.98133749370079	4.36765558603538	4.27882027990938	3.69823140311981
LOC148413	3.42088619816173	3.3498563744233	3.52052120045158	4.6803422897794	3.26077750155478	3.48610697867476
MRPL20	3.6551003049578	3.46168601729168	4.02190333891287	4.59041214156837	3.2357070560469	3.56773232178359
ANKRD65	1.20331766645491	-0.0494741802664722	1.4064628240534	5.37046765300706	-0.0494741802664722	1.96564814703654
